Fecha;codLinea;codAseguradora;primaAcumulada;primaMensual
2010-06-01 00:00:00.000;11;1;35.183.349;3.961.464
2010-06-01 00:00:00.000;12;1;51.924.621;5.811.318
2010-06-01 00:00:00.000;8;1;322.100.884;54.609.865
2010-06-01 00:00:00.000;3;1;4.424.462;-185.820.000.000.001
2010-06-01 00:00:00.000;17;1;37.188.807;-319.240.138
2010-06-01 00:00:00.000;13;1;2.315.511;328.016.894
2010-06-01 00:00:00.000;19;1;199.781.842;42.926.394
2010-06-01 00:00:00.000;19;4;4.704.453;825.793
2010-06-01 00:00:00.000;16;1;1.174.713;-106.099
2010-06-01 00:00:00.000;9;1;31.605.544;3.588.899
2010-06-01 00:00:00.000;6;1;695.155;-943.205
2010-06-01 00:00:00.000;5;1;2.834.841;523.332
2010-07-01 00:00:00.000;12;1;57.776.253;5.851.632
2010-07-01 00:00:00.000;11;1;4.500.939;9.826.041
2010-07-01 00:00:00.000;10;1;668.801.783;100.530.044
2010-07-01 00:00:00.000;10;8;116.205;75.186
2010-07-01 00:00:00.000;13;1;2.510.498;194.987
2010-07-01 00:00:00.000;3;1;481.655;392.088
2010-07-01 00:00:00.000;17;1;29.489.128;-7.699.679
2010-07-01 00:00:00.000;8;1;406.263.529;84.162.645
2010-07-01 00:00:00.000;18;1;3.580.651;260.035.999.999.999
2010-07-01 00:00:00.000;19;1;219.265.639;19.483.797
2010-07-01 00:00:00.000;19;4;5.499.015;794.562.000.000.001
2010-07-01 00:00:00.000;4;1;104.932.275;1215.52
2010-07-01 00:00:00.000;4;4;3.485.643;505.495
2010-07-01 00:00:00.000;2;1;557.027.627;61.629.335
2010-07-01 00:00:00.000;6;1;793.178;98.023
2010-07-01 00:00:00.000;5;1;3.659.376;824.535
2010-07-01 00:00:00.000;9;1;37.737.476;6.131.932
2010-07-01 00:00:00.000;16;1;3.145.252;1.970.539
2010-08-01 00:00:00.000;8;1;458.166.144;51.902.615
2010-08-01 00:00:00.000;3;1;6.119.015;1.302.465
2010-08-01 00:00:00.000;17;1;48.809.465;19.320.337
2010-08-01 00:00:00.000;13;1;2.607.669;971.710.000.000.002
2010-08-01 00:00:00.000;6;1;981.179;188.001
2010-08-01 00:00:00.000;5;1;4.822.462;1.163.086
2010-08-01 00:00:00.000;11;1;4.953.577;452.638
2010-08-01 00:00:00.000;8;3;246.326;246.326
2010-08-01 00:00:00.000;12;1;63.099.014;5.322.761
2010-08-01 00:00:00.000;17;3;0.4577;0.4577
2010-08-01 00:00:00.000;18;1;3.803.388;222.737
2010-08-01 00:00:00.000;19;1;238.120.015;18.854.376
2010-08-01 00:00:00.000;19;4;6.275.992;776.976.999.999.999
2010-08-01 00:00:00.000;19;7;0.0943;0.0943
2010-08-01 00:00:00.000;16;1;6.399.363;3.254.111
2010-08-01 00:00:00.000;9;1;44.701.014;696.353.799.999.999
2010-08-01 00:00:00.000;2;1;66.173.538;104.707.753
2010-08-01 00:00:00.000;10;1;74.822.273;79.420.947
2010-08-01 00:00:00.000;10;8;307.381;191.176
2010-08-01 00:00:00.000;4;1;121.882.209;16.949.934
2010-08-01 00:00:00.000;4;4;387.506;389.417
2010-08-01 00:00:00.000;4;7;0.4265;0.4265
2010-09-01 00:00:00.000;2;1;715.442.177;537.067.969.999.999
2010-09-01 00:00:00.000;10;1;827.186.687;789.639.569.999.999
2010-09-01 00:00:00.000;10;8;717.498;410.117
2010-09-01 00:00:00.000;4;1;130.509.712;8.627.503
2010-09-01 00:00:00.000;4;4;4.364.505;489.445
2010-09-01 00:00:00.000;4;7;173.202;168.937
2010-09-01 00:00:00.000;17;3;30.342;25.765
2010-09-01 00:00:00.000;8;1;500.227.114;4.206.097
2010-09-01 00:00:00.000;3;1;665.107;532.054.999.999.999
2010-09-01 00:00:00.000;17;1;55.039.702;6.230.237
2010-09-01 00:00:00.000;13;1;325.269;645.021
2010-09-01 00:00:00.000;6;1;1.073.354;92.175
2010-09-01 00:00:00.000;5;1;5.423.611;601.149
2010-09-01 00:00:00.000;11;1;5.419.127;465.55
2010-09-01 00:00:00.000;11;3;289.583;289.583
2010-09-01 00:00:00.000;8;3;1.470.147;1.223.821
2010-09-01 00:00:00.000;12;1;71.551.946;8.452.932
2010-09-01 00:00:00.000;18;1;3.974.766;171.378
2010-09-01 00:00:00.000;19;1;25.576.092;17.640.905
2010-09-01 00:00:00.000;19;4;7.069.405;793.413
2010-09-01 00:00:00.000;19;7;46.505;45.562
2010-09-01 00:00:00.000;16;1;799;1.590.637
2010-09-01 00:00:00.000;9;1;5.074.374;6.042.726
2010-10-01 00:00:00.000;6;1;1.228.338;154.984
2010-10-01 00:00:00.000;5;1;5.713.631;290.020.000.000.001
2010-10-01 00:00:00.000;9;1;57.471.265;672.752.500.000.001
2010-10-01 00:00:00.000;16;1;9.183.781;1.193.781
2010-10-01 00:00:00.000;18;1;413.625;161.484
2010-10-01 00:00:00.000;19;1;272.072.738;16.311.818
2010-10-01 00:00:00.000;8;1;543.861.801;43.634.687
2010-10-01 00:00:00.000;8;3;1.825.838;355.691
2010-10-01 00:00:00.000;12;1;78.739.856;718.791
2010-10-01 00:00:00.000;12;3;0.8647;0.8647
2010-10-01 00:00:00.000;11;1;60.788.407;659.713.699.999.999
